file_name,label,binary_label
IMAGE_0000.jpg,meningioma_tumor,positive
IMAGE_0001.jpg,no_tumor,negative
IMAGE_0002.jpg,meningioma_tumor,positive
IMAGE_0003.jpg,glioma_tumor,positive
IMAGE_0004.jpg,meningioma_tumor,positive
IMAGE_0005.jpg,meningioma_tumor,positive
IMAGE_0006.jpg,no_tumor,negative
IMAGE_0007.jpg,glioma_tumor,positive
IMAGE_0008.jpg,glioma_tumor,positive
IMAGE_0009.jpg,pituitary_tumor,positive
IMAGE_0010.jpg,pituitary_tumor,positive
IMAGE_0011.jpg,glioma_tumor,positive
IMAGE_0012.jpg,glioma_tumor,positive
IMAGE_0013.jpg,pituitary_tumor,positive
IMAGE_0014.jpg,pituitary_tumor,positive
IMAGE_0015.jpg,meningioma_tumor,positive
IMAGE_0016.jpg,meningioma_tumor,positive
IMAGE_0017.jpg,pituitary_tumor,positive
IMAGE_0018.jpg,pituitary_tumor,positive
IMAGE_0019.jpg,no_tumor,negative
IMAGE_0020.jpg,no_tumor,negative
IMAGE_0021.jpg,meningioma_tumor,positive
IMAGE_0022.jpg,pituitary_tumor,positive
IMAGE_0023.jpg,meningioma_tumor,positive
IMAGE_0024.jpg,pituitary_tumor,positive
IMAGE_0025.jpg,pituitary_tumor,positive
IMAGE_0026.jpg,pituitary_tumor,positive
IMAGE_0027.jpg,no_tumor,negative
IMAGE_0028.jpg,meningioma_tumor,positive
IMAGE_0029.jpg,glioma_tumor,positive
IMAGE_0030.jpg,meningioma_tumor,positive
IMAGE_0031.jpg,glioma_tumor,positive
IMAGE_0032.jpg,glioma_tumor,positive
IMAGE_0033.jpg,meningioma_tumor,positive
IMAGE_0034.jpg,glioma_tumor,positive
IMAGE_0035.jpg,pituitary_tumor,positive
IMAGE_0036.jpg,no_tumor,negative
IMAGE_0037.jpg,glioma_tumor,positive
IMAGE_0038.jpg,meningioma_tumor,positive
IMAGE_0039.jpg,glioma_tumor,positive
IMAGE_0040.jpg,meningioma_tumor,positive
IMAGE_0041.jpg,glioma_tumor,positive
IMAGE_0042.jpg,no_tumor,negative
IMAGE_0043.jpg,pituitary_tumor,positive
IMAGE_0044.jpg,meningioma_tumor,positive
IMAGE_0045.jpg,glioma_tumor,positive
IMAGE_0046.jpg,glioma_tumor,positive
IMAGE_0047.jpg,glioma_tumor,positive
IMAGE_0048.jpg,no_tumor,negative
IMAGE_0049.jpg,glioma_tumor,positive
IMAGE_0050.jpg,meningioma_tumor,positive
IMAGE_0051.jpg,meningioma_tumor,positive
